social_support_social_support,generosity_generosity,logged_gdp_per_capita_log_gdp_per_capita,explained_by_freedom_to_make_life_choices_negative_affect,perceptions_of_corruption_perceptions_of_corruption,explained_by_social_support_positive_affect,ladder_score_life_ladder,freedom_to_make_life_choices_freedom_to_make_life_choices,healthy_life_expectancy_healthy_life_expectancy_at_birth
0.859,-0.105,9.756,0.245,0.743,0.674,4.031,0.791,56.020
0.816,-0.116,9.724,0.261,0.860,0.746,3.762,0.857,56.800
0.768,-0.253,9.748,0.252,0.729,0.686,3.499,0.852,57.500
0.768,-0.248,9.756,0.276,0.731,0.656,3.505,0.817,58.200
0.795,-0.254,9.778,0.267,0.807,0.730,3.461,0.818,58.900
0.774,-0.239,9.785,0.273,0.792,0.712,3.471,0.833,59.600
0.883,,9.438,0.302,0.745,0.818,6.637,0.882,63.300
0.886,-0.016,9.515,0.299,0.728,0.859,6.321,0.777,63.780
0.878,-0.078,9.555,0.265,0.688,0.820,6.691,0.782,64.020
0.913,-0.055,9.544,0.274,0.723,0.833,7.001,0.767,64.260
0.906,-0.054,9.607,0.250,0.656,0.817,6.837,0.806,64.500
0.916,-0.072,9.637,0.268,0.662,0.807,7.038,0.834,64.760
0.890,,9.647,0.350,0.623,0.755,6.660,0.849,65.020
0.910,-0.095,9.668,0.276,0.707,0.818,7.140,0.785,65.280
0.898,-0.115,9.664,0.274,0.710,0.788,6.981,0.714,65.540
0.907,-0.016,9.620,0.325,0.771,0.755,6.547,0.799,65.800
0.912,-0.100,9.578,0.302,0.781,0.763,6.375,0.807,66.000
0.905,-0.175,9.583,0.308,0.794,0.716,6.333,0.765,66.200
0.882,-0.117,9.589,0.350,0.763,0.750,6.191,0.751,66.400
0.899,-0.062,9.592,0.337,0.762,0.761,6.451,0.830,66.600
0.831,-0.053,9.522,0.389,0.729,0.692,6.110,0.786,66.800
0.832,-0.138,9.715,0.226,0.976,0.594,3.844,0.566,65.100
0.843,-0.144,9.765,0.238,0.941,0.546,3.912,0.545,65.700
0.860,-0.228,9.795,0.271,0.948,0.534,3.875,0.664,65.800
0.838,-0.172,9.804,0.237,0.938,0.573,4.222,0.641,65.900
0.829,-0.191,9.813,0.278,0.962,0.623,3.993,0.603,66.000
0.886,-0.055,9.838,0.236,0.955,0.628,4.438,0.576,66.100
0.908,-0.200,9.883,0.214,0.941,0.643,4.865,0.637,66.200
0.926,-0.170,9.928,0.172,0.936,0.622,4.838,0.700,66.400
0.942,-0.154,9.969,0.189,0.911,0.614,5.097,0.689,66.600
0.924,-0.176,10.007,0.189,0.952,0.639,5.099,0.724,66.800
0.948,-0.109,10.047,0.200,0.943,0.663,5.108,0.822,67.000
0.916,-0.004,9.991,0.221,0.901,0.706,5.598,0.818,67.200
0.796,0.028,7.367,0.266,0.798,0.716,3.801,0.588,46.660
0.771,-0.060,7.377,0.281,0.833,0.651,4.017,0.582,47.420
0.727,-0.101,7.403,0.304,0.887,0.523,3.846,0.612,48.180
0.773,-0.036,7.453,0.217,0.767,0.590,4.036,0.587,49.700
0.710,-0.105,7.487,0.205,0.707,0.579,4.785,0.725,50.240
0.744,-0.070,7.520,0.300,0.726,0.545,3.955,0.622,50.780
0.745,-0.016,7.546,0.287,0.765,0.630,3.326,0.741,51.320
0.742,-0.004,7.559,0.256,0.801,0.614,3.481,0.710,51.860
0.705,0.004,7.568,0.359,0.693,0.579,4.419,0.659,52.400
0.764,-0.001,7.596,0.337,0.721,0.616,4.206,0.645,52.900
0.785,-0.063,7.627,0.354,0.727,0.585,4.647,0.614,53.400
0.665,-0.013,7.665,0.343,0.757,0.711,4.927,0.721,53.900
0.683,-0.004,7.691,0.365,0.729,0.691,4.741,0.678,54.400
0.291,-0.019,6.719,0.253,0.860,0.440,3.563,0.260,49.020
0.326,-0.019,6.723,0.164,0.718,0.641,3.792,0.427,49.660
0.422,-0.062,6.748,0.190,0.677,0.689,3.706,0.490,50.680
0.565,-0.059,6.787,0.251,0.808,0.656,2.905,0.431,51.820
0.485,-0.024,6.635,0.363,0.599,0.666,3.775,0.646,53.400
0.793,0.255,7.746,0.341,0.829,0.719,3.569,,55.300
0.675,0.116,7.829,0.320,0.879,,4.156,0.819,56.100
0.619,0.045,7.879,0.335,0.888,0.739,4.462,0.914,56.900
0.818,0.152,7.865,0.188,0.965,0.796,4.111,0.937,57.700
0.697,0.350,7.907,0.422,0.896,0.774,4.141,0.940,58.500
0.716,0.418,7.960,0.308,0.775,0.799,4.161,0.927,58.880
0.606,0.247,8.014,0.352,0.890,0.820,3.899,0.956,59.260
0.651,0.164,8.068,0.440,0.812,0.792,3.674,0.941,59.640
0.693,0.239,8.121,0.482,0.843,0.783,3.883,0.938,60.020
0.729,0.210,8.173,0.399,0.825,0.813,4.162,0.956,60.400
0.746,0.076,8.225,0.398,0.840,0.839,4.461,0.958,60.800
0.765,0.088,8.276,0.408,0.821,0.799,4.586,0.964,61.200
0.795,0.036,8.333,0.414,,0.845,5.122,0.958,61.600
0.759,0.013,8.387,0.390,0.828,0.844,4.998,0.957,62.000
0.724,0.052,8.362,0.390,0.863,0.878,4.377,0.963,62.400
0.690,-0.009,8.007,0.271,0.907,0.606,3.851,0.653,45.980
0.717,-0.031,8.028,0.249,0.910,0.635,4.350,0.644,46.560
0.697,-0.069,8.034,0.312,0.945,0.600,4.292,0.580,47.140
0.729,-0.017,8.029,0.250,0.925,0.593,4.741,0.698,47.720
0.759,0.002,8.035,0.274,0.875,0.606,4.554,0.792,48.300
0.738,-0.029,8.048,0.272,0.870,0.598,4.434,0.817,48.700
0.743,-0.032,8.065,0.284,0.898,0.618,4.245,0.766,49.100
0.760,-0.030,8.090,0.268,0.867,0.681,4.271,0.794,49.500
0.778,-0.071,8.120,0.216,0.856,0.623,4.240,0.795,49.900
0.646,0.049,8.149,0.346,0.868,0.651,5.038,0.791,50.300
0.659,-0.003,8.167,0.367,0.879,0.662,4.816,0.713,51.100
0.695,-0.028,8.176,0.377,0.844,0.632,5.074,0.767,51.900
0.677,0.036,8.190,0.356,0.884,0.642,5.251,0.816,52.700
0.711,-0.008,8.203,0.326,0.817,0.629,4.937,0.712,53.500
0.720,0.049,8.175,0.386,0.837,0.630,5.241,0.675,54.300
0.962,0.256,10.652,0.233,0.503,0.839,7.418,0.957,71.300
,0.249,10.739,0.257,0.406,0.872,7.482,0.930,71.660
0.939,0.262,10.738,0.202,0.370,0.890,7.486,0.926,71.840
0.943,0.246,10.697,0.248,0.413,0.867,7.488,0.915,72.020
0.954,0.230,10.717,0.233,0.413,0.879,7.650,0.934,72.200
0.922,0.253,10.738,0.248,0.433,0.881,7.426,0.951,72.360
0.948,0.290,10.744,0.229,0.466,0.857,7.415,0.918,72.520
0.936,0.316,10.757,0.263,0.406,0.851,7.594,0.916,72.680
0.918,0.270,10.775,0.259,0.442,0.833,7.304,0.939,72.840
0.939,0.253,10.774,0.286,0.427,0.845,7.413,0.931,73.000
0.924,0.211,10.773,0.237,0.385,0.825,7.245,0.912,73.200
0.934,0.163,10.792,0.218,0.362,0.863,7.415,0.945,73.400
0.923,0.106,10.798,0.259,0.372,0.824,7.175,0.946,73.600
0.925,0.112,10.800,0.285,0.436,0.822,7.109,0.912,73.800
0.931,0.050,10.730,0.307,0.434,0.796,7.025,0.887,74.000
0.532,0.081,6.987,0.330,0.782,0.568,4.160,0.663,40.900
0.483,-0.036,7.091,0.257,0.845,0.523,3.568,0.690,42.700
0.387,-0.016,7.125,0.277,0.834,0.524,3.678,0.780,43.080
0.290,0.033,6.785,0.494,0.859,0.579,2.693,0.624,44.900
0.320,0.073,6.817,0.599,0.890,0.614,3.476,0.645,45.200
0.724,0.028,7.360,0.263,0.961,0.580,3.435,0.306,43.180
0.479,-0.011,7.359,0.245,0.874,0.614,4.141,0.295,43.660
0.571,0.063,7.356,0.225,0.944,0.569,4.632,0.527,44.140
0.646,0.021,7.364,0.221,0.931,0.557,3.639,0.401,44.620
0.734,0.025,7.457,0.287,0.858,0.545,3.743,0.505,45.100
0.819,0.031,7.425,0.289,0.876,0.591,4.393,0.540,45.420
0.673,-0.034,7.476,0.316,0.884,0.527,4.033,0.563,45.740
0.714,-0.045,7.498,0.314,0.882,0.462,3.508,0.488,46.060
0.733,-0.070,7.532,0.329,0.881,0.536,3.460,0.567,46.380
0.751,-0.029,7.527,0.358,0.889,0.607,4.323,0.474,46.700
0.616,0.052,7.431,0.468,0.820,0.582,4.029,0.525,47.200
0.661,0.008,7.370,0.538,0.792,0.628,4.559,0.615,47.700
0.577,0.024,7.363,0.544,0.763,0.553,4.486,0.650,48.200
0.640,0.055,7.365,0.460,0.832,0.587,4.251,0.537,48.700
0.836,0.168,9.850,0.348,0.634,0.804,6.063,0.744,68.660
0.815,0.244,9.887,0.342,0.723,0.767,5.698,0.662,68.720
0.804,0.084,9.911,0.330,0.741,0.757,5.789,0.640,68.780
0.832,0.149,9.885,0.300,0.734,0.808,6.494,0.747,68.840
0.857,0.108,9.931,0.300,0.702,0.809,6.636,0.786,68.900
0.819,0.112,9.980,0.317,0.753,0.804,6.526,0.701,69.040
0.855,0.195,10.023,0.288,0.782,0.815,6.599,0.734,69.180
0.862,0.085,10.053,0.285,0.741,0.855,6.740,0.737,69.320
0.862,0.217,10.059,0.276,0.758,0.870,6.844,0.733,69.460
0.827,0.041,10.070,0.333,0.812,0.803,6.533,0.769,69.600
0.841,0.102,10.074,0.283,0.858,0.869,6.579,0.652,69.700
0.880,-0.020,10.072,0.291,0.836,0.838,6.320,0.790,69.800
0.890,-0.060,10.097,0.276,0.816,0.833,6.436,0.789,69.900
0.869,-0.103,10.095,0.337,0.860,0.809,5.942,0.659,70.000
0.888,0.033,10.020,0.336,0.812,0.815,6.151,0.781,70.100
0.747,,8.696,0.170,,0.809,4.560,,66.880
0.811,-0.176,8.824,0.159,,0.817,4.863,,67.060
0.748,-0.092,8.911,0.147,,0.817,4.846,0.853,67.240
0.798,-0.160,8.996,0.162,,0.786,4.454,0.771,67.420
0.768,-0.133,9.092,0.158,,0.765,4.653,0.805,67.600
0.787,-0.186,9.179,0.134,,0.820,5.037,0.824,67.760
0.788,-0.185,9.249,0.159,,0.821,5.095,0.808,67.920
0.778,-0.158,9.319,0.142,,0.836,5.241,0.805,68.080
0.820,-0.217,9.386,0.112,,0.854,5.196,,68.240
0.794,-0.244,9.449,0.171,,0.809,5.304,,68.400
0.742,-0.228,9.510,0.146,,0.826,5.325,,68.700
0.772,-0.175,9.571,0.214,,0.821,5.099,0.878,69.000
0.788,-0.159,9.632,0.190,,0.856,5.131,0.895,69.300
0.822,-0.173,9.688,0.147,,0.891,5.144,0.927,69.600
0.808,-0.103,9.702,0.245,,0.789,5.771,0.891,69.900
0.910,-0.015,9.277,0.326,0.808,0.800,6.025,0.805,65.220
0.894,-0.040,9.330,0.287,0.860,0.808,6.138,0.786,65.340
0.880,-0.042,9.351,0.307,0.763,0.803,6.168,0.795,65.460
0.886,-0.055,9.351,0.273,0.837,0.843,6.272,0.757,65.580
0.893,-0.050,9.384,0.265,0.815,0.831,6.408,0.816,65.700
0.904,-0.073,9.442,0.286,0.847,0.832,6.464,0.811,65.920
0.914,-0.009,9.471,0.294,0.868,0.846,6.375,0.828,66.140
0.901,-0.071,9.512,0.278,0.898,0.851,6.607,0.841,66.360
0.907,-0.090,9.546,0.278,0.887,0.847,6.449,0.801,66.580
0.890,-0.100,9.564,0.292,0.843,0.839,6.388,0.791,66.800
0.882,-0.100,9.571,0.294,0.898,0.794,6.234,0.835,67.100
0.909,-0.157,9.569,0.299,0.875,0.837,6.157,0.838,67.400
0.871,-0.148,9.579,0.301,0.855,0.825,5.984,0.851,67.700
0.873,-0.172,9.598,0.322,0.854,0.822,6.350,0.822,68.000
0.797,-0.085,9.495,0.340,0.808,0.795,5.709,0.840,68.300
0.629,-0.074,7.952,0.167,0.838,0.672,3.476,0.508,54.360
0.721,0.005,7.965,0.178,0.741,0.728,3.812,0.529,54.700
0.722,-0.075,7.981,0.173,0.732,0.667,3.838,0.500,55.020
0.719,-0.121,7.988,0.212,0.651,0.612,3.956,0.534,55.340
0.621,0.086,8.028,0.337,0.794,0.748,3.973,0.560,57.200
0.632,0.077,8.033,0.336,0.762,0.736,4.609,0.538,57.500
0.555,-0.098,8.082,0.298,,0.573,3.820,0.526,52.200
0.637,-0.109,8.180,0.288,0.833,0.621,4.510,0.745,54.580
0.622,-0.112,8.192,0.323,0.800,0.564,3.919,0.773,54.960
0.680,-0.078,8.201,0.291,0.752,0.610,3.955,0.726,55.340
0.686,-0.110,8.242,0.400,0.808,0.595,4.056,0.662,55.720
0.642,-0.104,8.243,0.261,0.841,0.606,4.691,0.850,56.100
0.615,-0.072,8.190,0.304,0.790,0.610,4.119,0.786,56.700
0.655,-0.131,8.146,0.382,0.763,0.599,4.884,0.778,57.300
0.621,-0.092,8.136,0.448,0.738,0.588,5.490,0.699,57.900
0.625,-0.046,8.101,0.405,0.741,0.645,5.213,0.686,58.500
0.733,-0.022,6.728,0.283,0.824,0.491,3.984,0.556,49.340
0.744,-0.025,6.797,0.208,0.856,0.617,4.517,0.631,50.340
0.770,-0.035,6.832,0.230,0.807,0.634,4.639,0.557,50.780
0.830,0.012,6.880,0.187,0.913,0.589,4.497,0.480,51.220
0.822,0.009,6.937,0.305,0.814,0.559,4.414,0.556,51.660
0.767,-0.048,6.971,0.301,0.866,0.589,3.903,0.574,52.100
0.864,-0.024,6.962,0.222,0.875,0.646,4.522,0.637,52.500
0.670,0.068,6.966,0.404,0.809,0.551,4.311,0.704,52.900
0.937,0.060,9.565,0.236,0.798,0.868,7.082,0.882,69.940
0.918,0.098,9.630,0.240,0.820,0.875,7.432,0.923,69.880
0.916,0.096,9.662,0.233,0.816,0.844,6.851,0.912,69.820
0.900,0.065,9.639,0.217,0.787,0.876,7.615,0.886,69.760
0.915,0.047,9.675,0.221,0.763,0.886,7.271,0.881,69.700
0.892,-0.033,9.705,0.269,0.837,0.876,7.229,0.926,69.900
0.902,0.046,9.740,0.263,0.794,0.897,7.272,0.929,70.100
0.902,0.018,9.751,0.278,0.813,0.850,7.158,0.898,70.300
0.914,0.010,9.775,0.290,0.788,0.837,7.247,0.927,70.500
0.878,-0.059,9.799,0.286,0.761,0.850,6.854,0.907,70.700
0.901,-0.032,9.830,0.281,0.781,0.874,7.136,0.873,70.900
0.922,-0.076,9.858,0.275,0.742,0.874,7.225,0.936,71.100
0.876,-0.107,9.874,0.326,0.781,0.870,7.141,0.942,71.300
0.906,-0.146,9.885,0.303,0.836,0.848,6.998,0.927,71.500
0.910,-0.092,10.162,0.337,0.934,0.586,5.821,0.662,67.120
0.861,-0.271,10.104,0.272,0.958,0.637,5.433,0.549,67.640
0.796,-0.237,10.091,0.259,0.973,0.607,5.596,0.564,67.900
0.790,-0.198,10.091,0.273,0.977,0.598,5.385,0.517,68.000
0.776,-0.242,10.072,0.271,0.924,0.622,6.028,0.542,68.100
0.751,-0.204,10.069,0.285,0.936,0.590,5.885,0.627,68.200
0.646,0.132,10.072,0.286,0.918,0.596,5.381,0.519,68.300
0.768,-0.096,10.104,0.294,0.849,0.609,5.205,0.694,68.400
0.798,-0.065,10.146,0.337,0.884,0.614,5.417,0.672,69.000
0.770,-0.104,10.189,0.316,0.892,0.655,5.343,0.716,69.600
0.910,-0.151,10.224,0.290,0.925,0.582,5.536,0.691,70.200
0.936,-0.137,10.258,0.269,0.932,0.551,5.626,0.739,70.800
0.923,-0.063,10.166,0.286,0.961,0.743,6.508,0.837,71.400
0.970,,,0.277,,0.647,5.418,0.281,68.440
0.878,0.018,10.566,0.253,0.712,0.829,6.238,0.836,71.440
0.812,0.054,10.558,0.329,0.801,0.746,6.833,0.775,72.160
0.822,0.073,10.551,0.296,0.833,0.786,6.387,0.755,72.400
0.844,0.180,10.530,0.272,0.841,0.763,6.690,0.745,72.540
0.767,0.098,10.479,0.369,0.871,0.755,6.181,0.725,72.680
0.744,0.102,10.414,0.420,0.867,0.748,5.439,0.656,72.820
0.770,0.060,10.406,0.397,0.868,0.737,5.627,0.715,72.960
0.770,0.114,10.445,0.383,0.893,0.747,5.439,0.628,73.100
0.786,-0.030,10.506,0.336,0.898,0.742,5.795,0.756,73.300
0.819,0.043,10.539,0.301,0.851,0.784,6.062,0.812,73.500
0.826,-0.022,10.567,0.298,0.848,0.750,6.276,0.794,73.700
0.776,-0.008,10.585,0.290,0.865,0.763,6.137,0.740,73.900
0.806,,,0.284,0.816,0.759,6.260,0.763,74.100
0.919,,10.324,0.258,0.901,0.723,6.439,0.865,67.000
0.900,-0.063,10.437,0.277,0.928,0.736,6.500,0.799,67.440
0.934,-0.042,10.419,0.244,0.926,0.641,6.250,0.779,68.100
0.914,-0.106,10.435,0.253,0.950,0.601,6.331,0.787,68.240
0.912,-0.154,10.426,0.257,0.957,0.609,6.334,0.740,68.380
0.888,-0.156,10.420,0.253,0.916,0.720,6.698,0.726,68.520
0.878,-0.168,10.446,0.235,0.897,0.678,6.484,0.800,68.660
0.911,-0.146,10.496,0.206,0.886,0.751,6.608,0.808,68.800
0.931,-0.197,10.518,0.201,0.900,0.756,6.736,0.850,69.300
0.901,-0.177,10.558,0.227,0.867,0.739,6.790,0.832,69.800
0.929,-0.292,10.583,0.178,0.851,0.714,7.034,0.790,70.300
0.964,-0.127,10.530,0.290,0.884,0.832,6.897,0.906,71.300
0.972,,10.851,0.154,0.237,0.860,8.019,0.971,69.600
0.954,0.240,10.891,0.194,0.206,0.828,7.834,0.932,69.920
0.954,0.272,10.880,0.163,0.248,0.757,7.971,0.970,70.080
0.939,0.264,10.824,0.234,0.206,0.749,7.683,0.949,70.240
0.975,0.242,10.839,0.155,0.175,0.785,7.771,0.944,70.400
0.962,0.298,10.848,0.175,0.220,0.769,7.788,0.935,70.620
0.951,0.139,10.846,0.209,0.187,0.774,7.520,0.933,70.840
0.965,0.215,10.851,0.195,0.170,0.862,7.589,0.920,71.060
0.956,0.118,10.862,0.233,0.237,0.832,7.508,0.942,71.280
0.960,0.222,10.878,0.218,0.191,0.829,7.514,0.941,71.500
0.954,0.138,10.903,0.208,0.210,0.836,7.558,0.948,71.800
0.952,0.155,10.916,0.206,0.181,0.824,7.594,0.955,72.100
0.958,0.018,10.935,0.206,0.151,0.821,7.649,0.935,72.400
0.958,0.020,10.954,0.181,0.174,0.862,7.693,0.963,72.700
0.947,0.052,10.910,0.227,0.214,0.818,7.515,0.938,73.000
0.690,0.129,8.111,0.120,0.576,0.755,5.009,0.773,53.260
0.901,0.005,7.927,0.232,0.634,0.662,4.906,0.649,53.780
,-0.058,7.812,,0.597,,5.006,0.764,54.300
0.633,-0.057,7.880,0.181,0.519,0.579,4.369,0.746,54.700
0.919,0.038,9.314,0.274,0.755,0.748,5.088,0.858,62.680
0.848,-0.008,9.372,0.260,0.772,0.767,5.081,0.886,62.960
0.850,-0.045,9.391,0.329,0.728,0.732,4.842,0.848,63.240
0.878,-0.053,9.388,0.280,0.806,0.785,5.432,0.863,63.520
0.860,-0.075,9.456,0.282,0.780,0.787,4.735,0.824,63.800
0.872,0.014,9.475,0.300,0.788,0.809,5.397,0.848,64.020
0.879,-0.062,9.489,0.297,0.727,0.797,4.753,0.840,64.240
0.878,0.021,9.525,0.295,0.752,0.793,5.016,0.889,64.460
0.891,-0.020,9.582,0.300,0.760,0.798,5.387,0.905,64.680
0.893,-0.065,9.637,0.295,0.755,0.714,5.062,0.856,64.900
0.895,-0.080,9.691,0.278,0.737,0.760,5.239,0.873,65.200
0.894,-0.121,9.725,0.275,0.760,0.739,5.605,0.855,65.500
0.862,-0.150,9.782,0.291,0.762,0.745,5.433,0.867,65.800
0.884,-0.123,9.821,0.264,0.746,0.784,6.004,0.877,66.100
0.806,-0.128,9.802,0.314,0.636,0.734,5.168,0.835,66.400
0.910,-0.091,9.186,0.357,0.901,0.825,5.024,0.671,66.080
0.839,-0.063,9.191,0.286,0.830,0.833,4.996,0.670,66.260
0.829,-0.094,9.236,0.283,0.801,0.843,5.297,0.640,66.440
0.779,-0.108,9.225,0.256,0.774,0.840,6.022,0.737,66.620
0.839,-0.063,9.244,0.220,0.806,0.826,5.838,0.723,66.800
0.818,-0.155,9.304,0.271,0.702,0.862,5.795,0.788,66.960
0.785,-0.084,9.344,0.333,0.730,0.847,5.961,0.825,67.120
0.801,-0.191,9.377,0.267,0.646,0.851,6.019,0.787,67.280
0.831,-0.167,9.399,0.306,0.661,0.859,5.946,0.719,67.440
0.856,-0.114,9.384,0.323,0.666,0.851,5.964,0.801,67.600
0.842,-0.015,9.355,0.365,0.774,0.846,6.115,0.846,67.900
0.849,-0.167,9.360,0.314,0.734,0.829,5.840,0.879,68.200
0.851,-0.099,9.355,0.328,0.831,0.876,6.128,0.869,68.500
0.808,-0.115,9.339,0.374,0.839,0.811,5.809,0.830,68.800
0.804,-0.157,9.244,0.416,0.855,0.790,5.354,0.829,69.100
0.848,,9.036,0.346,,0.735,5.168,0.817,59.700
0.686,-0.121,9.135,0.355,,0.665,5.541,0.609,59.820
0.738,-0.087,9.186,0.301,0.914,0.683,4.632,,59.880
0.744,-0.100,9.213,0.339,0.801,0.642,5.066,0.611,59.940
0.769,-0.076,9.244,0.276,0.826,0.567,4.669,0.486,60.000
0.753,-0.151,9.240,0.353,0.859,0.529,4.174,0.590,60.160
0.737,-0.138,9.240,0.398,0.880,0.527,4.204,0.452,60.320
0.675,-0.141,9.239,0.483,0.913,0.551,3.559,0.474,60.480
0.619,-0.126,9.245,0.327,0.749,0.543,4.885,0.578,60.640
0.730,-0.089,9.266,0.344,0.684,0.610,4.763,0.659,60.800
0.809,-0.141,9.287,0.370,0.818,0.611,4.557,0.656,61.100
0.638,-0.152,9.307,0.414,,0.539,3.929,0.593,61.400
0.759,-0.215,9.338,0.285,,0.492,4.005,0.682,61.700
0.772,-0.199,9.373,0.313,,0.517,4.328,0.774,62.000
0.673,-0.112,9.383,0.442,,0.599,4.472,0.770,62.300
0.878,-0.056,8.873,0.233,0.807,0.864,5.701,0.683,62.920
0.717,-0.015,8.887,0.220,0.785,0.869,5.296,0.639,63.240
0.747,-0.078,8.908,0.232,0.735,0.842,5.191,0.636,63.560
0.734,-0.103,8.883,0.243,0.648,0.850,6.839,0.671,63.880
0.757,-0.064,8.900,0.302,0.694,0.814,6.740,0.669,64.200
0.731,-0.126,8.933,0.336,0.707,0.875,4.741,0.747,64.400
0.806,-0.155,8.956,0.365,0.786,0.831,5.934,0.683,64.600
0.827,-0.150,8.974,0.317,0.772,0.828,6.325,0.716,64.800
0.798,-0.194,8.986,0.330,0.781,0.837,5.857,0.778,65.000
0.791,-0.156,9.005,0.333,0.805,0.826,6.018,0.733,65.200
0.794,-0.185,9.025,0.346,0.797,0.761,6.140,0.800,65.500
0.829,-0.172,9.042,0.268,0.778,0.849,6.339,0.758,65.800
0.820,-0.095,9.061,0.270,0.801,0.860,6.241,0.863,66.100
0.764,-0.109,9.080,0.271,0.682,0.871,6.455,0.877,66.400
0.696,-0.126,9.019,0.329,0.583,0.839,5.462,0.924,66.700
0.910,-0.264,10.270,0.215,0.797,0.655,5.371,0.749,64.860
0.896,-0.246,10.347,0.176,0.743,0.666,5.332,0.712,65.320
0.904,-0.217,10.298,0.218,0.663,0.597,5.452,0.642,65.780
0.874,-0.230,10.144,0.243,0.793,0.598,5.138,0.611,66.240
0.909,-0.168,10.248,0.205,0.687,0.651,5.487,0.735,66.960
0.889,-0.192,10.282,0.199,0.793,0.647,5.364,0.697,67.220
0.901,-0.201,10.299,0.199,0.726,0.702,5.367,0.754,67.480
0.917,-0.153,10.331,0.203,0.652,0.680,5.556,0.773,67.740
0.918,-0.164,10.348,0.183,0.569,0.723,5.629,0.815,68.000
0.938,-0.149,10.374,0.177,0.639,0.726,5.650,0.843,68.200
0.936,-0.101,10.429,0.160,0.668,0.805,5.938,0.862,68.400
0.933,-0.141,10.472,0.163,0.621,0.795,6.091,0.886,68.600
0.934,-0.096,10.511,0.156,0.576,0.804,6.035,0.887,68.800
0.958,-0.082,10.459,0.188,0.398,0.807,6.453,0.954,69.000
0.659,-0.044,7.271,0.137,,0.668,4.561,0.776,55.200
0.602,-0.008,7.343,0.213,0.750,0.643,4.445,0.707,55.800
0.640,0.080,7.413,0.303,0.702,0.738,4.507,0.694,56.400
0.626,0.113,7.484,0.237,0.567,0.714,4.573,0.803,57.000
0.719,0.038,7.547,0.254,0.703,0.727,4.298,0.744,57.500
0.734,0.001,7.612,0.304,0.757,0.609,4.180,0.717,58.000
0.740,0.039,7.651,0.272,0.799,0.660,4.379,0.740,58.500
0.748,0.053,7.705,0.283,0.732,0.631,4.100,0.754,59.000
0.823,0.188,7.711,0.252,0.784,0.669,4.549,0.769,59.500
0.965,-0.005,10.745,0.172,0.132,0.722,7.672,0.969,69.760
0.951,0.028,10.796,0.144,0.217,0.773,7.671,0.934,70.080
0.935,0.091,10.734,0.202,0.413,0.832,7.393,0.916,70.400
0.938,0.101,10.754,0.205,0.320,0.773,7.354,0.936,70.640
0.928,-0.001,10.735,0.202,0.361,0.796,7.420,0.921,70.880
0.941,0.040,10.722,0.195,0.306,0.769,7.445,0.919,71.120
0.952,-0.001,10.714,0.199,0.265,0.784,7.385,0.933,71.360
0.948,0.111,10.716,0.191,0.223,0.751,7.448,0.930,71.600
0.954,-0.027,10.740,0.182,0.250,0.797,7.660,0.948,71.700
0.964,-0.002,10.768,0.176,0.192,0.787,7.788,0.962,71.800
0.962,-0.127,10.783,0.182,0.199,0.782,7.858,0.938,71.900
0.937,-0.052,10.792,0.181,0.195,0.755,7.780,0.948,72.000
0.962,-0.116,10.750,0.193,0.164,0.744,7.889,0.962,72.100
0.940,,10.642,0.225,0.688,0.769,7.093,0.895,71.300
0.944,0.126,10.659,0.289,0.699,0.777,6.583,0.789,71.480
0.935,-0.031,10.674,0.281,0.669,0.746,7.008,0.833,71.840
0.918,-0.082,10.639,0.303,0.654,0.763,6.283,0.798,72.020
0.943,-0.104,10.654,0.261,0.623,0.790,6.798,0.850,72.200
0.921,-0.102,10.671,0.281,0.627,0.781,6.959,0.903,72.400
0.937,-0.149,10.669,0.253,0.608,0.754,6.649,0.841,72.600
0.908,-0.125,10.669,0.205,0.699,0.800,6.667,0.878,72.800
0.878,-0.118,10.674,0.216,0.656,0.811,6.467,0.803,73.000
0.896,-0.139,10.682,0.215,0.641,0.786,6.358,0.817,73.200
0.885,-0.091,10.690,0.270,0.623,0.773,6.475,0.787,73.400
0.931,-0.123,10.711,0.242,0.601,0.762,6.635,0.834,73.600
0.921,-0.138,10.727,0.282,0.582,0.767,6.666,0.816,73.800
0.958,-0.133,10.740,0.250,0.568,0.735,6.690,0.827,74.000
0.947,-0.169,10.643,0.231,0.565,0.732,6.714,0.823,74.200
0.653,-0.211,9.608,0.264,0.851,0.591,4.255,0.772,55.480
0.736,-0.195,9.621,0.266,0.810,0.470,3.972,0.566,56.160
0.733,-0.146,9.638,0.287,0.780,0.510,3.800,0.682,56.840
0.829,-0.198,9.644,0.293,0.782,0.539,3.918,0.607,57.520
0.756,-0.194,9.649,0.372,0.867,0.626,4.661,0.671,58.200
0.780,-0.204,9.639,0.432,0.817,0.640,4.832,0.699,58.700
0.807,-0.228,9.616,0.446,0.868,0.634,4.782,0.652,59.200
0.785,-0.197,9.599,0.418,0.823,0.641,4.783,0.719,59.700
0.763,-0.203,9.607,0.413,0.846,0.693,4.914,0.736,60.200
0.697,0.111,7.637,0.277,0.572,0.838,4.118,0.812,54.700
0.685,0.440,7.671,0.379,0.691,0.804,4.922,0.719,55.000
0.694,0.410,7.699,0.401,0.798,0.773,5.164,0.677,55.300
0.647,-0.267,8.993,0.269,0.752,0.433,3.675,0.553,65.120
0.548,-0.267,9.117,0.236,0.697,0.427,3.707,0.464,65.040
